H6sKbzbiZFsAAAFNBwNmYFmV,http://en.wikipedia.org/wiki/Khmer_Republic
gKQKbzbirLAAAAFMyFEfTp6Z,http://en.wikipedia.org/wiki/Democratic_Kampuchea
xn8KbzbiVNAAAAFMwLlRkr8N,http://en.wikipedia.org/wiki/Principality_of_Anhalt
stMKbzbinGUAAAFNEHhHEeia,http://en.wikipedia.org/wiki/Kalmar_Union
C_0KbzbiQaEAAAFPux8InBtF,http://en.wikipedia.org/wiki/Achaemenid_Empire
6KEKbzbirVgAAAFM9dsfToVO,http://en.wikipedia.org/wiki/Georgia_(country)
uTwKbzbiHP8AAAFMkRwfTpBN,http://en.wikipedia.org/wiki/Belarus
PGkKX9ISaX0AAAFTz5MHOOgA,http://en.wikipedia.org/wiki/Ukraine
y3IKbzbis8AAAAFM45nx3YEj,http://en.wikipedia.org/wiki/Ukraine
a_oKbzbivQUAAAFMiKTx3YGY,http://en.wikipedia.org/wiki/Azerbaijan
f5oKbzbi5HwAAAFMqo8fToG5,http://en.wikipedia.org/wiki/Moldova
32IKbzbihi0AAAFM2kcfToRq,http://en.wikipedia.org/wiki/Tajikistan
xT4Kbzbi3iEAAAFMnusfToKe,http://en.wikipedia.org/wiki/Uzbekistan
BbwKX9ISVa4AAAFTZjwHOOfT,http://en.wikipedia.org/wiki/Estonia
N5AKbzbiKD0AAAFMeXjx3YD6,http://en.wikipedia.org/wiki/Estonia
_QAKbzbiG_0AAAFM6L4fTowE,http://en.wikipedia.org/wiki/Kazakhstan
lcMKbzbiDBcAAAFMD5fx3YCh,http://en.wikipedia.org/wiki/Kyrgyzstan
HnsKbzbiP4wAAAFMRLUfToIj,http://en.wikipedia.org/wiki/Lithuania
QjgKbzbi4NAAAAFMzLfx3YEr,http://en.wikipedia.org/wiki/Latvia
qa8KbzbiPDIAAAFMTcQfTomj,http://en.wikipedia.org/wiki/Turkmenistan
bB8KbzbiIUgAAAFMwGQfToSA,http://en.wikipedia.org/wiki/Kingdom_of_Great_Britain
efEKbzbi6nYAAAFMdJsfToTN,http://en.wikipedia.org/wiki/British_West_Africa
LzAKbzbi.mAAAAFM5bUfToTU,http://en.wikipedia.org/wiki/Southern_Rhodesia
lssKbzbiaIcAAAFMXrQfToPQ,http://en.wikipedia.org/wiki/Rhodesia
WWAKbzbisgQAAAFMFYMfToTD,http://en.wikipedia.org/wiki/Zambia
bU4KbzbiDr0AAAFMoksfToHr,http://en.wikipedia.org/wiki/India
SwYKbzbiDuoAAAFMd9gfTpz1,http://en.wikipedia.org/wiki/Bengal
dowKbzbikCMAAAFMaN8fToOT,http://en.wikipedia.org/wiki/Hyderabad_State
sZMKbzbiItsAAAFMRXofToIq,http://en.wikipedia.org/wiki/Pakistan
kiIKbzbibtoAAAFM0AAfToJW,http://en.wikipedia.org/wiki/Jamaica
9fYKbzbiDaAAAAFMIh4fTote,http://en.wikipedia.org/wiki/French_protectorate_of_Cambodia
juwKbzbiqWUAAAFM6VNRkrFn,http://en.wikipedia.org/wiki/Kingdom_of_Cambodia_(1953%E2%80%931970)
6BkKbzbiTMYAAAFMZpEfToRk,http://en.wikipedia.org/wiki/Abkhazia
MoAKbzbivtMAAAFMNJbx3YA8,http://en.wikipedia.org/wiki/Ottoman_Empire
.lUKbzbi77cAAAFMW.Xx3YGO,http://en.wikipedia.org/wiki/Second_Bulgarian_Empire
2HUKbzbih1MAAAFMslMfToyA,http://en.wikipedia.org/wiki/Republic_of_Venice
AeEKbzbiNQ0AAAFMmosfToNs,http://en.wikipedia.org/wiki/Turkey
zuZznvIThWMAAAFx8KEg4mhT,http://en.wikipedia.org/wiki/Armenia
a.wKbzbilFMAAAFMEbgfToVH,http://en.wikipedia.org/wiki/Malaysia
kt4KbzbiFQ0AAAFMnRsfToZg,http://en.wikipedia.org/wiki/Sarawak
CWYKbzbiUrkAAAFMJwsfToax,http://en.wikipedia.org/wiki/First_Austrian_Republic
DiMKbzbiRJsAAAFMhjofToTC,http://en.wikipedia.org/wiki/Malaya_Federation
lfgKbzbiPn0AAAFMJ4Xx3YBA,http://en.wikipedia.org/wiki/Federated_Malay_States
fEYKbzbikPQAAAFMo_IfToRq,http://en.wikipedia.org/wiki/Malayan_Union
BDcKbzbihvoAAAFM6k9Rkrm0,http://en.wikipedia.org/wiki/Portuguese_Malacca
7mcKbzbigXwAAAFM2akfToGj,http://en.wikipedia.org/wiki/Dutch_Malacca
Q1sKbzbiMN0AAAFMxwsfTobE,http://en.wikipedia.org/wiki/Sovereign_Military_Order_of_Malta
WWoKbzbi.RAAAAFMx9nx3YBG,http://en.wikipedia.org/wiki/Crimean_Khanate
ZSgKbzbiZjIAAAFMWFgfToVX,http://en.wikipedia.org/wiki/Golden_Horde
IekKbzbiMkMAAAFMVa4fToLM,http://en.wikipedia.org/wiki/Zimbabwe
jmgKbzbiudQAAAFMrzwfToaf,http://en.wikipedia.org/wiki/Brunei
4SEKbzbiksgAAAFMY8YfToSS,http://en.wikipedia.org/wiki/North_Borneo
hnUKX9ISmqQAAAFTpmkHOOec,http://en.wikipedia.org/wiki/North_Borneo
PcgKbzbiFlAAAAFMuoMfTpMf,http://en.wikipedia.org/wiki/Republic_of_Ireland
O3AKbzbiWGQAAAFMtlgfToJD,http://en.wikipedia.org/wiki/United_Kingdom_of_Great_Britain_and_Ireland
2RoKbzbi5wEAAAFMY8EfToxq,http://en.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
fD8KbzbieXgAAAFMrItRkrbF,http://en.wikipedia.org/wiki/Guinea-Bissau
.xAKbzbiVfYAAAFMa.YfToKP,http://en.wikipedia.org/wiki/Mughal_Empire
ebcKbzbiAuEAAAFMRuLx3YE.,http://en.wikipedia.org/wiki/Maldives
HEcKbzbi6nsAAAFMgbEfToMy,http://en.wikipedia.org/wiki/Britannic_Empire
PgEKbzbis5oAAAFM_sEfToKy,http://en.wikipedia.org/wiki/West_Germany
zP8KbzbiC8AAAAFMfKzx3YEg,http://en.wikipedia.org/wiki/Allied-occupied_Germany
RYYKbzbiIXYAAAFMm1YfToJX,http://en.wikipedia.org/wiki/Nazi_Germany
Ft0KbzbiC0IAAAFMEdxRkrgO,http://en.wikipedia.org/wiki/Angola
3yYKbzbihfAAAAFMrK4fToO_,http://en.wikipedia.org/wiki/East_Germany
vnIKbzbim.gAAAFMc0QfTo4z,http://en.wikipedia.org/wiki/French_First_Republic
eqUKbzbiKMoAAAFM6ZAfToLF,http://en.wikipedia.org/wiki/Vichy_France
OYgKbzbiYw0AAAFMYQkfToss,http://en.wikipedia.org/wiki/France_in_the_Middle_Ages
HMgKX9ISdPwAAAFTlDa44cyN,http://en.wikipedia.org/wiki/French_Fifth_Republic
QwEKbzbi_34AAAFMA58fToX1,http://en.wikipedia.org/wiki/French_Fifth_Republic
mhcKbzbiIPMAAAFM5GsfTpE3,http://en.wikipedia.org/wiki/Fourth_French_Republic
LLsKbzbitEIAAAFMg.YfToIx,http://en.wikipedia.org/wiki/French_Third_Republic
ucgKbzbi7pIAAAFM2jNRkqRG,http://en.wikipedia.org/wiki/French_Second_Republic
GycKbzbiJOEAAAFMSDYfToSw,http://en.wikipedia.org/wiki/July_Monarchy
4DUKbzbiQm0AAAFMrr4fTpQH,http://en.wikipedia.org/wiki/Bourbon_Restoration
E8MKbzbiZo0AAAFMyBjx3YER,http://en.wikipedia.org/wiki/First_French_Empire
rM4KbzbixzcAAAFMSORRkqQO,http://en.wikipedia.org/wiki/Second_French_Empire
i0UKX9ISN14AAAFTTGe44czi,http://en.wikipedia.org/wiki/Guernsey
wj8KbzbiIc8AAAFMi8YfToOU,http://en.wikipedia.org/wiki/Guernsey
CzgKbzbiInsAAAFMXlcfToNm,http://en.wikipedia.org/wiki/British_East_Africa
oGYKbzbiA_QAAAFMxXEfToQC,http://en.wikipedia.org/wiki/Kingdom_of_Jerusalem
.5AKbzbii9UAAAFM4BcfToKK,http://en.wikipedia.org/wiki/Jordan
0KkKbzbii_YAAAFMJ0UfToQ1,http://en.wikipedia.org/wiki/African_Union
u.MKbzbiXWEAAAFM6pwfTpZa,http://en.wikipedia.org/wiki/Greco-Bactrian_Kingdom
L8AKbzbiAYwAAAFMVHIfTofz,http://en.wikipedia.org/wiki/Kingdom_of_Romania
ebcKbzbiAuEAAAFMRuLx3YE.,http://en.wikipedia.org/wiki/Maldives
hd8Kbzbi2_YAAAFM3ZAfToTQ,http://en.wikipedia.org/wiki/Brandenburg-Prussia
RWEKbzbioIYAAAFMcQvx3YDp,http://en.wikipedia.org/wiki/Grand_Duchy_of_Lithuania
Kt0Kbzbi7XEAAAFMz4EfTp7o,http://en.wikipedia.org/wiki/Saxe-Coburg_and_Gotha
PUMKbzbiYqUAAAFMWmUfTocA,http://en.wikipedia.org/wiki/Kingdom_of_Poland_(1385%E2%80%931569)
EgYKbzbi9h0AAAFMNY4fTpYJ,http://en.wikipedia.org/wiki/Congress_Poland
IyoKbzbi6tkAAAFModfx3YEO,http://en.wikipedia.org/wiki/History_of_Gda%C5%84sk_(Danzig)#As_part_of_the_Kingdom_of_Poland_.281454.2F66.E2.80.931793.29
G1kKbzbiWCkAAAFM.fEfToI8,http://en.wikipedia.org/wiki/Polish_People's_Republic
DnAKbzbiyuIAAAFMil3x3YGc,http://en.wikipedia.org/wiki/Timor-Leste
rxwKbzbihNUAAAFMIjAfToS_,http://en.wikipedia.org/wiki/Grand_Duchy_of_Baden
0pwKbzbi1nsAAAFMK24fToNu,http://en.wikipedia.org/wiki/Al-Andalus
VpcKbzbi3kkAAAFMIB8fTosB,http://en.wikipedia.org/wiki/Allied-administered_Austria
xicKbzbi5EMAAAFMTJYfToNB,http://en.wikipedia.org/wiki/Cape_Verde
ZXMKbzbimM4AAAFMqE4fToVK,http://en.wikipedia.org/wiki/Israel
tq8Kbzbim08AAAFM4SUfTpyb,http://en.wikipedia.org/wiki/Tristan_da_Cunha
YNQKbzbi2FEAAAFMC94fToQA,http://en.wikipedia.org/wiki/Canada
fFYKbzbi.sMAAAFM9UUfToom,http://en.wikipedia.org/wiki/Zand_dynasty
9LgKbzbif2EAAAFMQFwfToPL,http://en.wikipedia.org/wiki/Iran
UHUKbzbi6AwAAAFMnTYfToSz,http://en.wikipedia.org/wiki/Virgin_Islands
RfcKbzbisPwAAAFMzn4fToa_,http://en.wikipedia.org/wiki/Second_Polish_Republic
lCcKbzbio2kAAAFMPQ0fTpU0,http://en.wikipedia.org/wiki/Perak
TFEKbzbizQ4AAAFMmHofTpEt,http://en.wikipedia.org/wiki/Kedah
aJkKbzbibJMAAAFMFwhRksGD,http://en.wikipedia.org/wiki/Kelantan
59EKbzbi3s4AAAFMBZEfToIR,http://en.wikipedia.org/wiki/Grenada
yjQKbzbi0fMAAAFMKtAfToLZ,http://en.wikipedia.org/wiki/United_Kingdom
59EKbzbi3s4AAAFMBZEfToIR,http://en.wikipedia.org/wiki/Grenada
jVIKbzbibzwAAAFMJskfToKT,http://en.wikipedia.org/wiki/Mecklenburg-Schwerin
jVIKbzbibzwAAAFMJskfToKT,http://en.wikipedia.org/wiki/Mecklenburg-Schwerin
B0AKbzbiQhAAAAFMd8EfTok_,http://en.wikipedia.org/wiki/Belize
gjMKbzbiI5wAAAFM65IfToIA,http://en.wikipedia.org/wiki/Finland
gjMKbzbiI5wAAAFM65IfToIA,http://en.wikipedia.org/wiki/Finland
xloKbzbiJh4AAAFMV2AfTol6,http://en.wikipedia.org/wiki/Equatorial_Guinea
AIoKbzbif_4AAAFMSfwfTowI,http://en.wikipedia.org/wiki/Dutch_East_India_Company
kgh8ReTlTRsAAAGKDDAKsa3t,http://en.wikipedia.org/wiki/Dutch_East_India_Company
nIwKbzbifdMAAAFMF2gfToNr,http://en.wikipedia.org/wiki/Dutch_East_Indies
D3kKbzbi4E8AAAFM9c4fToqr,http://en.wikipedia.org/wiki/Papal_States
.HgKbzbierMAAAFMtGkfToJz,http://en.wikipedia.org/wiki/Commonwealth_of_England
m4cKbzbiH2YAAAFM1nAfTokb,http://en.wikipedia.org/wiki/Afghanistan
gFAKbzbi8bsAAAFMe.4fTpEF,http://en.wikipedia.org/wiki/Islamic_Emirate_of_Afghanistan
fmcKbzbivR0AAAFMKVYfTpSH,http://en.wikipedia.org/wiki/Democratic_Republic_of_Afghanistan
bJ4KbzbiBmcAAAFMSYAfTon6,http://en.wikipedia.org/wiki/Emirate_of_Afghanistan
bJ4KbzbiBmcAAAFMSYAfTon6,http://en.wikipedia.org/wiki/Emirate_of_Afghanistan
MzsKbzbiiDYAAAFM7qQfTouw,http://en.wikipedia.org/wiki/Presidency_of_Hamid_Karzai
MzsKbzbiiDYAAAFM7qQfTouw,http://en.wikipedia.org/wiki/Presidency_of_Hamid_Karzai
kbYKbzbiBVsAAAFMKIofToJ4,http://en.wikipedia.org/wiki/Afghan_Transitional_Administration
IqEKbzbiEu8AAAFM4zkfToIj,http://en.wikipedia.org/wiki/Austrian_Empire
2yMKbzbi8nQAAAFMq7Px3YCE,http://en.wikipedia.org/wiki/Poland
0jAKbzbiw5AAAAFMzRsfTpf4,http://en.wikipedia.org/wiki/Netherlands_Antilles
fZgKbzbiTfEAAAFMiTEfTp3y,http://en.wikipedia.org/wiki/Kingdom_of_Portugal
RBUKbzbitMIAAAFMkWofToVQ,http://en.wikipedia.org/wiki/First_Portuguese_Republic
mSEKbzbipEgAAAFMSFrx3YCl,http://en.wikipedia.org/wiki/Ditadura_Nacional
0SYKbzbiEx0AAAFM4BHx3YB4,http://en.wikipedia.org/wiki/Portugal
YaNa42mSn_4AAAFvjvRZ9sLO,http://en.wikipedia.org/wiki/Portugal
aL0KbzbiRksAAAFMW9Px3YBB,http://en.wikipedia.org/wiki/Estado_Novo_(Portugal)
fTwKbzbimGsAAAFMr9Dx3YA2,http://en.wikipedia.org/wiki/Russia
qhIKX9IST.UAAAFT6Cu44czE,http://en.wikipedia.org/wiki/Soviet_Union
Z2IKbzbiAHMAAAFMOkjx3YA3,http://en.wikipedia.org/wiki/Soviet_Union
vjcKbzbi6LMAAAFM8D7x3YA3,http://en.wikipedia.org/wiki/Russian_Soviet_Federative_Socialist_Republic
vFgKbzbibmsAAAFMEUTx3YA3,http://en.wikipedia.org/wiki/Tsardom_of_Russia
_QMKbzbiqeYAAAFMXi7x3YA3,http://en.wikipedia.org/wiki/Grand_Duchy_of_Moscow
DF4KbzbisfYAAAFMZgPx3YA7,http://en.wikipedia.org/wiki/Kievan_Rus%27
ZM0Kbzbid2MAAAFM2bwfTovL,http://en.wikipedia.org/wiki/Portuguese_Empire
pG0Kbzbi7MUAAAFMXVofTooD,http://en.wikipedia.org/wiki/Azores
xicKbzbi5EMAAAFMTJYfToNB,http://en.wikipedia.org/wiki/Cape_Verde
DnAKbzbiyuIAAAFMil3x3YGc,http://en.wikipedia.org/wiki/Timor-Leste
2RoKbzbi5wEAAAFMY8EfToxq,http://en.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
G6kKbzbijpQAAAFM.yEfToSu,http://en.wikipedia.org/wiki/Portuguese_Guinea
YvcKbzbiyRsAAAFMpt4fTorl,http://en.wikipedia.org/wiki/Portuguese_Angola
IQMKbzbin1YAAAFMQOsfToPk,http://en.wikipedia.org/wiki/Macau
pOgKbzbioVYAAAFM7tIfToNo,http://en.wikipedia.org/wiki/Madeira
2BwKbzbiUhoAAAFMmVbx3YD0,http://en.wikipedia.org/wiki/First_Spanish_Republic
kT0KbzbiSooAAAFM148fToRJ,http://en.wikipedia.org/wiki/Spain
DFgKbzbi5xkAAAFM7eofToJ6,http://en.wikipedia.org/wiki/Restoration_(Spain)
yzoKbzbia8kAAAFMptAfTon4,http://en.wikipedia.org/wiki/Second_Spanish_Republic
9Q8KbzbipcsAAAFMrx8fToMP,http://en.wikipedia.org/wiki/Francoist_Spain
2BwKbzbiUhoAAAFMmVbx3YD0,http://en.wikipedia.org/wiki/First_Spanish_Republic
lF0Kbzbi4U4AAAFMq44fTood,http://en.wikipedia.org/wiki/History_of_Spain_(1814%E2%80%931873)
2uMKbzbiX2gAAAFMgRAfToJw,http://en.wikipedia.org/wiki/Habsburg_Spain
HyIKbzbidHUAAAFMhFhRkqcA,http://en.wikipedia.org/wiki/Kingdom_of_Spain_(Napoleonic)
z6IKbzbiUboAAAFMOMYfTozi,http://en.wikipedia.org/wiki/Spanish_Empire#The_Spanish_Empire:_reform_and_recovery_.281700.E2.80.931808.29
kT0KbzbiSooAAAFM148fToRJ,http://en.wikipedia.org/wiki/Spain
DksKbzbivzYAAAFMWt7x3YCq,http://en.wikipedia.org/wiki/Mexico
mNgKbzbixK4AAAFMs9zx3YA9,http://en.wikipedia.org/wiki/Second_Mexican_Empire
krwKbzbiz70AAAFMvOkfToJY,http://en.wikipedia.org/wiki/Second_Federal_Republic_of_Mexico
